"Time","(1 - (avg(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode=""idle""}[5m])))) * 100"
2023-03-23 03:00:00,10.3
2023-03-23 03:20:00,10.2
2023-03-23 03:40:00,11.9
2023-03-23 04:00:00,13.2
2023-03-23 04:20:00,13.4
2023-03-23 04:40:00,13.4
2023-03-23 05:00:00,10.5
2023-03-23 05:20:00,8.29
2023-03-23 05:40:00,10.2
2023-03-23 06:00:00,10.5
2023-03-23 06:20:00,11.0
2023-03-23 06:40:00,9.31
2023-03-23 07:00:00,11.7
2023-03-23 07:20:00,11.4
2023-03-23 07:40:00,12.1
2023-03-23 08:00:00,10.9
2023-03-23 08:20:00,12.6
2023-03-23 08:40:00,13.0
2023-03-23 09:00:00,12.6
2023-03-23 09:20:00,12.3
2023-03-23 09:40:00,13.6
2023-03-23 10:00:00,14.7
2023-03-23 10:20:00,19.3
2023-03-23 10:40:00,18.5
2023-03-23 11:00:00,20.2
2023-03-23 11:20:00,20.4
2023-03-23 11:40:00,20.0
2023-03-23 12:00:00,20.5
2023-03-23 12:20:00,19.4
2023-03-23 12:40:00,15.2
2023-03-23 13:00:00,13.5
2023-03-23 13:20:00,15.3
2023-03-23 13:40:00,15.8
2023-03-23 14:00:00,13.9
2023-03-23 14:20:00,15.6
2023-03-23 14:40:00,16.1
2023-03-23 15:00:00,15.4
2023-03-23 15:20:00,16.4
2023-03-23 15:40:00,15.8
2023-03-23 16:00:00,17.6
2023-03-23 16:20:00,17.4
2023-03-23 16:40:00,16.9
2023-03-23 17:00:00,18.2
2023-03-23 17:20:00,15.8
2023-03-23 17:40:00,17.5
2023-03-23 18:00:00,18.7
2023-03-23 18:20:00,18.2
2023-03-23 18:40:00,18.3
2023-03-23 19:00:00,16.6
2023-03-23 19:20:00,18.1
2023-03-23 19:40:00,17.0
2023-03-23 20:00:00,18.7
2023-03-23 20:20:00,18.0
2023-03-23 20:40:00,16.7
2023-03-23 21:00:00,18.1
2023-03-23 21:20:00,16.0
2023-03-23 21:40:00,17.3
2023-03-23 22:00:00,18.0
2023-03-23 22:20:00,16.7
2023-03-23 22:40:00,17.3
2023-03-23 23:00:00,15.9
2023-03-23 23:20:00,16.9
2023-03-23 23:40:00,17.4
2023-03-24 00:00:00,16.5
2023-03-24 00:20:00,17.3
2023-03-24 00:40:00,16.8
2023-03-24 01:00:00,17.5
2023-03-24 01:20:00,17.2
2023-03-24 01:40:00,15.1
2023-03-24 02:00:00,17.5
2023-03-24 02:20:00,17.2
2023-03-24 02:40:00,17.0
2023-03-24 03:00:00,17.8
2023-03-24 03:20:00,16.1
2023-03-24 03:40:00,17.0
2023-03-24 04:00:00,17.1
2023-03-24 04:20:00,17.1
2023-03-24 04:40:00,17.4
2023-03-24 05:00:00,17.3
2023-03-24 05:20:00,17.9
2023-03-24 05:40:00,16.9
2023-03-24 06:00:00,18.6
2023-03-24 06:20:00,17.8
2023-03-24 06:40:00,17.8
2023-03-24 07:00:00,18.5
2023-03-24 07:20:00,17.7
2023-03-24 07:40:00,18.2
2023-03-24 08:00:00,17.8
2023-03-24 08:20:00,17.8
2023-03-24 08:40:00,16.6
2023-03-24 09:00:00,17.6

